CODE	ENGLISH	CHINESE	JAPAN	SPANISH	SWAHILI	DANISH	THAI	INDONESIA	VIETNAM	PORTOGUESE	KOREA	BURMESE
L_2	volatility :	起伏度 :	ボラティリティ:	volatilidad:	tete :	volatilitet:	ความผันผวน:	volatilitas :	sự biến động:	volatilidade:	변동성 :	မတည်ငြိမ်မှု
L_3	connecting...	connecting...	接続中...	Conectando...	inaunganisha...	forbinder...	กำลังเชื่อมต่อ...	menghubungkan...	đang kết nối...	connecting...	연결 중...	ချိတ်ဆက်နေသည်...
L_4	downloading resources...	downloading resources...	リソースをダウンロードしています...	descargando recursos...	inapakua rasilimali...	downloader ressourcer...	กำลังดาวน์โหลดทรัพยากร...	mengunduh sumber daya...	đang tải xuống tài nguyên...	downloading resources...	리소스를 다운로드하는 중...	အရင်းအမြစ်များကို ဒေါင်းလုဒ်လုပ်နေသည်...
L_5	getting initiated...	getting initiated...	入会手続き中...	...iniciado...	kuanzishwa...	bliver sat i gang...	การเริ่มต้น...	memulai...	đang được khởi xướng...	getting initiated...	시작하다...	စတင်လုပ်ဆောင်နေသည်...
L_6	complete.	complete.	完了。	completo.	kamili.	komplet.	สมบูรณ์.	menyelesaikan.	hoàn thành.	complete.	완벽한.	ပြီးပါပြီ။
L_7	Start	开始	始める	Comenzar	Anza	Starte	เริ่ม	Awal	Bắt đầu	INICIAR	시작	စတင်ပါ။
L_8	EXTRA BET	額外投注	エクストラベット	APUESTA EXTRA	DAU ZA ZIADA	EKSTRA INDSATS	เดิมพันพิเศษ	TARUHAN TAMBAHAN	Cược thêm	EXTRA BET	추가 베팅	အပိုလောင်းကြေး
L_9	an additional 50% of total bet amount is required.\n\nwinning points are calculated based on the original total bet Amount.\n\nAfter enabled:Booming Multipliers upgraded Directly and unlimited turns.Until The player Disables The extra bet feature.	需额外支付押注金额的50%。\n\n中奖凉分仍以原押注金额计算\n\n启动后：捨倍转轮直接升级，并且无回合限制， 直到玩家关  闭EXTRA BET功能。	合計ベット額の 50% の追加が必要です。\n\n勝利ポイントは、元の合計ベット額に基づいて計算されます。\n\n有効にすると、Booming Multipliers が直接アップグレードされ、ターンが無制限になります。プレーヤーが追加ベット機能を無効にするまで。	Se requiere un 50% adicional del monto total de la apuesta.\n\nLos puntos ganadores se calculan en función del monto total de la apuesta original.\n\nDespués de habilitar: los multiplicadores en auge se actualizan directamente y hay giros ilimitados.Hasta que el jugador deshabilite la función de apuesta adicional.	ziada ya 50% ya jumla ya kiasi cha dau inahitajika.\n\alama za kushinda huhesabiwa kulingana na Kiasi cha dau halisi.\n\nBaada ya kuwezeshwa:Vizidishi vya Booming vimeboreshwa moja kwa moja na zamu zisizo na kikomo.Hadi Mchezaji Atakapozima kipengele cha ziada cha dau.	der kræves yderligere 50 % af det samlede indsatsbeløb.\n\nvindende point beregnes baseret på det oprindelige samlede indsatsbeløb.\n\nEfter aktiveret: Booming Multiplikatorer opgraderes direkte og ubegrænsede omgange. Indtil spilleren deaktiverer den ekstra indsats-funktion.	ต้องมีการจ่ายเพิ่มอีก 50% ของยอดเงินเดิมพันทั้งหมด\n\nคะแนนที่ชนะจะคำนวณจากยอดเงินเดิมพันทั้งหมดเดิม\n\nหลังจากเปิดใช้งาน: ตัวคูณที่เพิ่มขึ้นจะอัปเกรดโดยตรงและไม่จำกัดจำนวนครั้ง จนกว่าผู้เล่นจะปิดใช้งานคุณสมบัติเดิมพันพิเศษ	diperlukan tambahan 50% dari total jumlah taruhan.\n\npoin kemenangan dihitung berdasarkan Jumlah total taruhan awal.\n\nSetelah diaktifkan: Pengganda Booming ditingkatkan Secara Langsung dan putaran tanpa batas.Sampai Pemain Menonaktifkan fitur taruhan tambahan.	yêu cầu thêm 50% tổng số tiền cược.\n\nđiểm thắng được tính dựa trên tổng số tiền cược ban đầu.\n\nSau khi kích hoạt: Hệ số nhân bùng nổ được nâng cấp trực tiếp và không giới hạn lượt.Cho đến khi người chơi vô hiệu hóa tính năng cược thêm.	É NECESSÁRIO UM ADICIONAL DE 50% DO VALOR TOTAL DA APOSTA\n\nOS PONTOS GANHOS SÃO CALCULADOS COM BASE NO VALOR DA APOSTA TOTAL ORIGINAL.\n\nDEPOIS DE HABILITADO: BOBINA MULTIPLICADOR  ATUÁLIZADA DIRETAMENTE E SEM LIMITE DE RODADAS  ATE QUE O JOGADOR DESATIVE A FUNÇÃO EXTRA BET	총 베팅 금액의 추가로 50%가 필요합니다.\n\n승리 포인트는 원래 총 베팅 금액을 기준으로 계산됩니다.\n\n활성화 후: 폭발적인 승수가 직접 업그레이드되고 턴이 무제한입니다. 플레이어가 추가 베팅 기능을 비활성화할 때까지.	စုစုပေါင်းလောင်းကြေးပမာဏ၏ 50% ထပ်မံလိုအပ်ပါသည်။\n\nမူရင်းစုစုပေါင်းလောင်းကြေးပမာဏအပေါ်အခြေခံ၍ ရရှိမည့်အမှတ်များကို တွက်ချက်ပါသည်။\n\nဖွင့်ပြီးနောက်- Booming Multipliers များကို တိုက်ရိုက်အဆင့်မြှင့်တင်ပြီး အကန့်အသတ်မရှိ အလှည့်အပြောင်းများပြုလုပ်ပါသည်။ ကစားသမားမှ အပိုလောင်းကစားအင်္ဂါရပ်ကို ပိတ်သည်အထိ။
L_10	QUICK SPIN ENABLED	开启加速旋转	クイックスピン対応	GIRO RÁPIDO HABILITADO	SPIN YA HARAKA IMEWASHWA	HURTIG SPIN AKTIVERET	เปิดใช้งานการหมุนอย่างรวดเร็ว	PUTARAN CEPAT DIAKTIFKAN	BẬT CHỨC NĂNG QUAY NHANH	GIRO RAPIDO HABILITADO	빠른 회전 활성화됨	အမြန်လှည့်ခြင်းကို ဖွင့်ထားသည်။
L_11	TURBO SPIN ENABLED	开启极速旋转	ターボスピン対応	TURBO SPIN HABILITADO	TURBO SPIN IMEWASHWA	TURBO SPIN AKTIVERET	เปิดใช้งาน TURBO SPIN	TURBO SPIN DIAKTIFKAN	TURBO SPIN ĐƯỢC BẬT	GIRO TURBO HABILITADO	터보 스핀 활성화됨	TURBO လှည့်ခြင်းကို ဖွင့်ထားသည်။
L_12	TURBO SPIN DISABLED	关闭极速旋转	ターボスピン無効	TURBO SPIN DESACTIVADO	TURBO SPIN IMEZIMWA	TURBO SPIN DEAKTIVERET	ปิดการใช้งานเทอร์โบสปิน	TURBO SPIN DINONAKTIFKAN	TURBO SPIN ĐÃ BỊ TẮT	GIRO TURBO DESABILITADO	터보 스핀 비활성화됨	TURBO လှည့်ခြင်းကို ပိတ်ထားသည်။
L_13	Minimum Bet	最小押分	最低賭け金	Apuesta mínima	Kiwango cha chini cha Dau	Minimum indsats	เดิมพันขั้นต่ำ	Taruhan Minimum	Cược tối thiểu	APOSTA MINIMA	최소 베팅	အနည်းဆုံးလောင်းကြေး
L_14	Maximum Bet.	最大押分	最大ベット額。	Apuesta máxima.	Kiwango cha juu cha dau.	Maksimal indsats.	เดิมพันสูงสุด	Taruhan Maksimum.	Cược tối đa.	APOSTA MAXIMA	최대 베팅.	အများဆုံးလောင်းကစား။
L_15	Insufficient balance.	帳餘不足。	残高が不足しています。	Saldo insuficiente.	Usawa usiotosha.	Utilstrækkelig balance.	ยอดเงินคงเหลือไม่เพียงพอ	Saldo tidak mencukupi.	Số dư không đủ.	Saldo insuficiente.	잔액이 부족합니다.	လက်ကျန်မလုံလောက်။
L_16	START FREE SPINS BONUS NOW \nWITH 50X CURRENT TOTAL BET.	花费 50倍当前总押注额， 立即启动免费旋转。	今すぐフリースピンボーナスを開始しましょう。\n現在の合計ベットの 50 倍になります。	COMIENCE EL BONO DE GIROS GRATIS AHORA \nCON 50X SU APUESTA TOTAL ACTUAL.	ANZA BONASI YA MPIGO BILA MALIPO SASA \nKWA DAU JUMLA YA 50X SASA.	START GRATIS SPINS BONUS NU \nMED 50X NUVÆRENDE SAMLET INDSATS.	เริ่มโบนัสหมุนฟรีทันทีด้วย 50 เท่าของเดิมพันรวมปัจจุบัน	MULAI BONUS PUTARAN GRATIS SEKARANG \nDENGAN 50X TOTAL TARUHAN SAAT INI.	BẮT ĐẦU THƯỞNG VÒNG QUAY MIỄN PHÍ NGAY \nVỚI TỔNG SỐ TIỀN CƯỢC HIỆN TẠI LÊN ĐẾN 50X.	COMECE AGORA O BÔNUS DE GIROS GRÁTIS \nCOM 50X A APOSTA TOTAL ATUAL.	지금 무료 스핀 보너스를 시작하세요 \n현재 총 베팅 금액의 50배로.	အခမဲ့လှည့်ခြင်းဘောနပ်စ်ကို ယခုစတင်ပါ \n 50X လက်ရှိစုစုပေါင်းလောင်းကြေးငွေဖြင့် စတင်ပါ။
