CODE	ENGLISH	CHINESE	JAPAN	SPANISH	SWAHILI	DANISH	THAI	INDONESIA	VIETNAM	PORTOGUESE	KOREA	BURMESE
L_2	Hello	你好	こんにちは	Hola	Habari	Hej	สวัสดี	Halo	Xin chào	Olá	안녕하세요	မင်္ဂလာပါ
L_3	MEMBER	成員	メンバー	MIEMBRO	MBUNGE	MEDLEM	สมาชิก	ANGGOTA	THÀNH VIÊN	MEMBRO	회원	အဖွဲ့ဝင်
L_4	BACKPACK	背包	バックパック	MOCHILA	MGONGO	RYGSÆK	เป้สะพายหลัง	RANSEL	BALO	MOCHILA	배낭	ကျောပိုးအိတ်
L_5	HISTORY	歷史	歴史	HISTORIA	HISTORIA	HISTORIE	ประวัติศาสตร์	SEJARAH	LỊCH SỬ	HISTÓRIA	역사	သမိုင်း
L_6	Filter	篩選	フィルター	Filtrar	Chuja	Filter	กรอง	Menyaring	Lọc	Filtro	필터	ဇကာ
L_7	ALL	全部	全て	TODO	YOTE	ALLE	ทั้งหมด	SEMUA	TẤT CẢ	TODOS	모두	အားလုံး
L_8	BONUS CHIP	獎勵籌碼	ボーナスチップ	FICHA DE BONIFICACIÓN	BONUS CHIP	BONUS CHIP	ชิปโบนัส	BONUS CHIP	CHIP THƯỞNG	FICHA DE BÔNUS	보너스 칩	ဘောနပ်စ် Chip
L_9	FREE FEATURE REWARD	免費功能獎勵	無料機能特典	RECOMPENSA POR FUNCIONES GRATUITAS	ZAWADI YA KIPENGELE BILA MALIPO	GRATIS FUNKTIONSBELØNING	รางวัลคุณสมบัติฟรี	HADIAH FITUR GRATIS	PHẦN THƯỞNG TÍNH NĂNG MIỄN PHÍ	RECOMPENSA DE RECURSO GRATUITO	무료 기능 보상	အခမဲ့အင်္ဂါရပ်ဆု
L_10	FREE SPINS REWARD	免費旋轉獎勵	フリースピン報酬	RECOMPENSA DE GIROS GRATIS	ZAWADI YA SPINS ZA BURE	GRATIS SPINS BELØNING	รางวัลหมุนฟรี	HADIAH PUTARAN GRATIS	PHẦN THƯỞNG VÒNG QUAY MIỄN PHÍ	RECOMPENSA DE GIROS GRÁTIS	무료 스핀 보상	အခမဲ့လှည့်ခြင်းဆုလာဘ်
L_11	Item	物品	アイテム	Artículo	Kipengee	Punkt	รายการ	Barang	Mục	Item	목	ကုသိုလ်ကံ
L_12	Detail	細節	詳細	Detalle	Maelezo	Detalje	รายละเอียด	Detil	Chi tiết	Detalhe	세부 사항	အသေးစိတ်
L_13	Activity	活動	活動	Actividad	Shughuli	Aktivitet	กิจกรรม	Aktivitas	Hoạt động	Atividade	활동	လုပ်ဆောင်ချက်
L_14	Reward	報酬	褒美	Premio	Zawadi	Belønne	รางวัล	Hadiah	Phần thưởng	Recompensa	보상	ဆုလာဘ်
L_15	Time	時間	時間	Tiempo	Muda	Tid	เวลา	Waktu	Thời gian	Tempo	시간	အချိန်
